author,author_type,bake_time,calories,carb,carb_u,difficulty,dish_description,dish_name,fat,fat_u,image_count,ingredient_list,ingredient_quantity,ingredient_unit,prep_time,protein,protein_u,rating,rest_time,reviews_for_rating,servings,total_steps,user_likes,utensils,total_time
Nóra Ammer,Community Member,15,,,,Easy,,Zucchini Fritters,,,1,"['medium zucchini', 'potato', 'grated cheese', 'garlic', 'egg', 'all-purpose flour', 'salt', 'pepper', 'curcuma']","['2.0', '1.0', '50.0', '2.0', '1.0', '4.0', '0.0', '0.0', '0.0']","['g', 'cloves', 'tbsp', '', '', '', '', '', '']",30,,,3.0,0,1.0,2,4.0,56,,45
roshan379,Community Member,38,,,,Hard,Biryani is a classic which is worth any amount of effort. Hope you enjoy it!,Chicken Dum biryani using curry base,,,0,"['basmati rice', 'chicken drumsticks', 'ghee', 'cilantro', 'mint', 'Jasmine water (Kewda water)', 'rose water', 'black cardamom pod', 'cardamom pods', 'Shahi Jeera', 'bay leaves', 'chili powder', 'ground coriander', 'garam masala', 'salt', 'yogurt', 'star anise', 'green chilis', 'cinnamon stick', 'cloves', 'sunflower oil', 'onions', 'tomatoes', 'Ginger garlic paste']","['500.0', '700.0', '2.0', '10.0', '10.0', '1.0', '1.0', '1.0', '2.0', '1.0', '2.0', '2.0', '2.0', '1.0', '2.0', '1.0', '3.0', '1.0', '5.0', '25.0', '350.0', '100.0', '1.5', '0.0']","['g', 'g', 'tbsp', 'sprigs', 'sprigs', 'tsp', 'tsp', 'tbsp', 'tsp', 'tsp', 'tsp', 'tbsp', 'ml', 'g', 'g', 'tbsp', '', '', '', '', '', '', '', '']",90,,,5.0,105,1.0,4,6.0,39,['Pressure cooker'],233
Cazul,Community Member,20,,,,Easy,I made this recipe really often when I was a student because it's so simple and so delicious. It's also cheap and all the ingredients are available in any supermarket.,Quick oven-baked feta with garlic bread,,,0,"['feta cheese', 'cherry tomatoes', 'jarred pitted olives', 'garlic', 'thyme', 'bread', 'butter', 'olive oil', 'smoked paprika powder', 'salt', 'pepper', 'dried Italian herb mixture']","['2.0', '8.0', '4.0', '2.0', '4.0', '4.0', '1.0', '1.0', '1.0', '0.0', '0.0', '0.0']","['cloves', 'sprigs', 'slices', 'pinch', 'pinch', 'pinch', '', '', '', '', '', '']",15,,,5.0,0,1.0,2,4.0,222,"['baking dish', 'knife', 'cutting board', 'garlic press', 'oven', 'frying pan']",35
Kelly Gillikin Schoueri,Community Member,20,,,,Medium,Savory and crunchy without the hassle of deep-frying! This Japanese comfort food checks all my boxes for a mid-level difficulty meal. My tip for couples: Bake all four cutlets but save two for another an easy weeknight meal. ,Baked Tonkatsudon,,,0,"['olive oil', 'panko breadcrumbs', 'pork chops', 'flour', 'salt', 'pepper', 'eggs', 'onion', 'Dashi stock', 'soy sauce', 'sugar', 'mirin', 'eggs', 'short grain rice', 'scallions']","['4', '1', '4', '0.3333333333333333', '0.5', '0.5', '2', '1', '0.5', '2', '3', '3', '2', '1', '2']","['tbsp', 'cup', 'slices', 'cup', 'tsp', 'tsp', 'cup', 'tbsp', 'tsp', 'tsp', 'cup', 'stalks', '', '', '']",75,,,0.0,0,,4,10.0,52,['meat tenderizer'],95
alice,Community Member,0,,,,Easy,,Bulgur with chickpeas and beans sauce,,,0,"['carrot', 'onion', 'olive oil', 'salt', 'tomato sauce', 'curry powder', 'canned chickpeas', 'canned kidney beans', 'bulgur']","['0.5', '1.0', '1.0', '250.0', '1.0', '250.0', '250.0', '300.0', '0.0']","['tbsp', 'g', 'tbsp', 'g', 'g', 'g', '', '', '']",45,,,0.0,0,,4,5.0,31,,45
Angga Prasetya,Community Member,10,,,,Medium,,Wagyu Steak with Mushroom Sauce,,,0,"['Wagyu Steak', 'garlic', 'unsalted butter', 'thyme', 'olive oil (for coating)', 'salt (for coating)', 'pepper (for coating)', 'button mushrooms', 'cream', 'garlic', 'thyme', 'unsalted butter', 'salt', 'sugar', 'pepper']","['500.0', '3.0', '1.0', '2.0', '200.0', '100.0', '2.0', '2.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']","['g', 'cloves', 'tbsp', 'leaves', 'g', 'ml', 'cloves', 'leaves', 'tbsp', '', '', '', '', '', '']",20,,,0.0,0,,2,6.0,9,,30
Sierra Long,Community Member,0,,,,Easy,This is a St Louis staple as we like to call it Chinamen! It is fried rice with all of your favorite fixings mixed into it. This particular day I had chicken thighs and shrimp on hand so that made my protein choice pretty easy. Peppers and onions give almost any dish great flavor so that was also a no brainer when I decided to add it to this particular dish. Anytime I get Chinese takeout I have to add extra eggs to my dish so it was mandatory that I do that in my own version as well.,St Louis Style “Chinamen”,,,1,"['Minute Rice', 'Chicken Broth', 'Salt  ', 'Black pepper', 'All purpose seasoning', 'Boneless skinless chicken thighs', 'Raw Shrimp', 'Chopped Green bell pepper ', 'Chopped Green Onion', 'Scrambled Eggs', 'Browning Sauce', 'soy sauce', 'extra-virgin olive oil (EVOO)']","['3.0', '3.0', '1.0', '1.0', '4.0', '3.0', '0.5', '2.0', '3.0', '5.0', '2.0', '2.0', '0.0']","['cups', 'cups', 'dash', 'dash', 'dashes', 'bag', 'stalks', 'tbsp', 'dashes', '', '', '', '']",60,,,0.0,0,,10,9.0,20,"['Large spoon', 'Griddle pan or Wok']",60
Wyeling Lim,Community Member,60,,,,Medium,,Timo's Chicken Curry,,,0,"['chicken drumsticks', 'potato', 'coconut milk', 'water', 'curry leaves', 'lemongrass', 'garlic', 'shallots', 'inches galangal', 'red chillies', 'dried chillies', 'tumeric powder', 'oil', 'salt']","['12.0', '1.0', '200.0', '500.0', '4.0', '4.0', '6.0', '150.0', '2.0', '6.0', '6.0', '1.0', '3.0', '0.0']","['kg', 'ml', 'ml', 'sprigs', 'stalks', 'cloves', 'g', 'tbsp', 'tbsp', '', '', '', '', '']",90,,,0.0,0,,12,9.0,10,"['mortar and pestle', 'wok']",150
Lydia Nderitu,Community Member,30,,,,Easy,Lately I have been experimenting with potatoes and came across a recipe for honey potatoes and chicken online. I tweaked it based on what ingredients I had plus I wanted to see how the baked potatoes did when I boiled them before baking. This experiment led to some amazing potatoes that my family enjoyed. We will be making this recipe again!,Baked chicken and potatoes,,,0,"['russet potatoes', 'olive oil (for marinating)', 'unsalted butter (melted)', 'honey', 'brown sugar', 'Dijon mustard', 'garlic powder', 'oregano', 'basil', 'salt', 'pepper', 'olive oil (for coating)', 'chicken breasts (boneless', ' skinless)', 'broccoli']","['6', '2', '2', '2', '2', '1', '3', '0.5', '0.5', '0.25', '0.5', '2', '4', '16']","['tbsp', 'tbsp', 'tbsp', 'tbsp', 'tbsp', 'tsp', 'tsp', 'tsp', 'tsp', 'tsp', 'tbsp', 'oz', '', '']",45,,,0.0,0,,4,6.0,31,"['bowl (large)', 'bowl (small)', 'whisk', 'pot (large)', 'cutting board', 'knife', 'baking pan (9x13 in.)', 'food thermometer']",75
Dashrath from The Rasoi Recipes,Community Member,0,,,,Medium,For more of my amazing recipes visit www.therasoirecipes.com,Chicken Jalfrezi,,,0,"['chicken breasts', 'yogurt (for marinating)', 'ginger garlic paste (for marinating)', 'chili powder (for marinating)', 'turmeric (ground', ' for marinating)', 'curry powder (for marinating)', 'garam masala (for marinating)', 'salt (for marinating)', 'bell pepper', 'onion', 'tomato purée', 'curry paste', 'ginger garlic paste', 'cumin seed', 'turmeric', 'chili powder', 'curry powder', 'garam masala', 'kasuri methi', 'honey', 'green chilis', 'oil', 'butter', 'salt to taste']","['750.0', '1.0', '1.5', '0.5', '0.25', '1.0', '0.25', '0.5', '1.0', '1.0', '2.0', '150.0', '1.0', '0.5', '1.0', '0.5', '0.75', '0.25', '0.5', '1.5', '2.0', '4.0', '1.0', '0.0']","['g', 'tbsp', 'tsp', 'tsp', 'tsp', 'tsp', 'tsp', 'tsp', 'tbsp', 'ml', 'tbsp', 'tsp', 'tsp', 'tsp', 'tsp', 'tsp', 'tsp', 'tsp', 'tbsp', 'tsp', '', '', '', '']",60,,,5.0,0,1.0,4,6.0,80,,60
Niloufar Doroud,Community Member,30,,,,Easy,A simple but satisfying salad with in season fresh fava beans and some pantry staples. Enjoy all the warming colors on a rainy spring day...,Warm Quinoa Salad with Fava Beans,,,0,"['fresh fava beans', 'quinoa', 'carrots', 'red beets', 'yellow bell pepper', 'red bell pepper', 'sugar', 'balsamic vinegar', 'canola oil', 'salt', 'black pepper', 'white sesame seed', 'black sesame seeds', 'garlic', 'red cabbages', 'extra-virgin olive oil', 'orange juice', 'full-fat Greek yogurt', 'pickled jalapeño', ' with liquid', 'garlic', 'dried chili', 'coriander seed', 'cumin seed', 'turmeric']","['150.0', '60.0', '250.0', '150.0', '1.0', '0.5', '1.0', '1.0', '1.0', '1.0', '0.5', '200.0', '45.0', '45.0', '2.0', '45.0', '1.0', '0.5', '0.5', '0.5', '0.25', '0.0', '0.0', '0.0']","['g', 'g', 'g', 'g', 'bulb', 'bulb', 'tbsp', 'tbsp', 'tbsp', 'tbsp', 'clove', 'g', 'ml', 'ml', 'tbsp', 'g', 'clove', 'tsp', 'tsp', 'tsp', 'tsp', '', '', '']",20,,,0.0,0,,2,7.0,41,"['pot (small', ' with lid)', 'pot (small)', 'peeler', 'skillet', 'immersion blender']",50
Palate & Plate,Community Member,0,,,,Easy,"The burden of homemade lunch can be eased by these delicious toasted shrimp wraps. Complete with avocado, feta and tangy green tomatoes.",Healthy shrimp and avocado wrap,,,0,"['shrimp', 'avocado', 'flour tortillas', 'cucumber', 'red pointed pepper', 'feta cheese', 'Green tomatoes ', 'cilantro', 'smoked paprika powder', 'garlic', 'oregano', 'Salt and pepper', 'olive oil']","['1.0', '1.0', '4.0', '0.5', '0.25', '1.0', '0.25', '1.0', '1.0', '2.0', '1.5', '1.0', '0.0']","['cup', 'tbsp', 'cup', 'sprig', 'tsp', 'cloves', 'tbsp', 'tbsp', '', '', '', '', '']",15,,,0.0,0,,2,4.0,180,"['frying pan', 'rubber spatula']",15
mary-linh,Community Member,25,,,,Easy,"This pasta bake has it all: Ribbons of ooey gooey mozzarella nestled between tender vegetables doused in a tangy tomato sauce that sticks to the pasta in all the right places. Since you can make this with any of your favorite seasonal vegetables and just about any pasta type—just be sure the pasta has enough ridges for the sauce to cling onto—it deserves a spot in your weeknight rotation of easy, no-fuss dinners.",Cheesy zucchini and bell pepper pasta bake,,,2,"['zucchini', 'yellow bell pepper', 'farfalle', 'mozzarella cheese', 'red onion', 'garlic', 'olive oil', 'canned crushed tomatoes', 'dried oregano', 'grated Parmesan cheese', 'salt', 'pepper', 'basil (for serving)']","['1.0', '1.0', '225.0', '125.0', '1.0', '2.0', '1.0', '400.0', '2.0', '50.0', '0.0', '0.0', '0.0']","['g', 'g', 'cloves', 'tbsp', 'g', 'tsp', 'g', '', '', '', '', '', '']",25,,,5.0,0,5.0,4,3.0,288,"['cutting board', 'knife', 'frying pan', 'cooking spoon', 'pot', 'oven', 'baking dish']",50
Clem,Community Member,60,,,,Easy,,Lentil soup,,,0,"['lentils', 'Broth cow tail', 'celery', 'tomatoes', 'carrots', 'ginger', 'garlic', 'Chili pepper', 'onion', 'Curcuma', 'bay leaves', 'Cumin powder', 'salt', 'Black pepper ground']","['300.0', '8.0', '5.0', '2.0', '5.0', '2.0', '1.0', '1.0', '2.0', '3.0', '4.0', '0.0', '0.0', '0.0']","['g', 'stalks', 'cloves', 'tsp', 'tsp', '', '', '', '', '', '', '', '', '']",30,,,0.0,10,,4,10.0,89,['Hand mixer food processor '],100
liz knaff,Community Member,0,,,,Medium,One of my favourites.  Prepared in a single pot and a big family will be  full and there are are still leftovers.  Great!,Porcini Risotto,,,0,"['risotto rice', 'dried porcini mushrooms', 'butter', 'grated Parmesan cheese', 'vegetable broth', 'onion (for frying)', 'wild garlic (for garnish)', 'parsley (for garnish)', 'Parmesan cheese (grated', ' for garnish)', 'salt', 'pepper']","['600.0', '50.0', '100.0', '5.0', '1.0', '1.0', '1.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'g', 'tbsp', 'l', 'tbsp', '', '', '', '', '']",30,,,0.0,0,,4,5.0,36,,30
Georgia Kilo,Community Member,20,,,,Medium,Try this delicious rack of lamb perfect for any occasion! Serve it with roast potatoes and vegetables for a complete healthy meal. this piece of art is guaranteed to impress your guests or loved one!,Crusted rack of lamb,,,0,"['rack of lamb', 'panko breadcrumbs', 'lime juice', 'parsley', 'honey', 'mustard', 'lime zest']","['1', '100', '1', '1', '1', '1', '1']","['g', 'tsp', 'pinch', 'tsp', 'tbsp', 'tsp', '']",20,,,0.0,5,,4,7.0,14,,45
Gary Pollard,Community Member,25,,,,Easy,Feel free to substitute the sausages for vegetarian or flavoured (pork and apple work very well).,"Sausages with Butternut Squash, Onion & Sage",,,1,"['butternut squash', 'red onions', 'sage leaves', 'olive oil', 'sausages']","['1', '2', '16', '3', '10']","['tbsp', '', '', '', '']",20,,,4.0,0,1.0,4,10.0,41,"['knife', 'vegetable peeler', 'spoon', 'oven', 'roasting pan', 'frying pan', 'slotted spoon']",45
Jess,Community Member,10,,,,Easy,Yum Mediterranean salad - excellent with Tzahiki and some lamb skewers and beans,Mediterranean Grain Salad,,,0,"['brown rice', 'green lentils', 'quinoa', 'water', 'red onion', 'pumpkin seeds', 'sunflower seeds', 'pine nuts', 'capers in brine', 'raisin', 'parsley', 'cilantro', 'lemon juice', 'olive oil', 'cumin seed', 'honey']","['150', '100', '100', '250', '1', '2', '2', '2', '2', '0.5', '1', '1', '0.25', '0.3333333333333333', '1', '1']","['g', 'g', 'g', 'ml', 'tbsp', 'tbsp', 'tbsp', 'tbsp', 'tsp', 'tbsp', '', '', '', '', '', '']",20,,,0.0,0,,2,5.0,39,,30
KK,Community Member,0,,,,Easy,"One of my favorite Taiwanese dishes is called stir-fried minced meat with garlic sprout, which is perfect with rice. Since garlic sprout and leeks are hard to get in the market and tend to spoil quickly, I used green beans instead, which is just as tasty.",Stir-fried minced pork with green beans,,,1,"['ground pork', 'Shaoxing wine', 'light soy sauce', 'sugar', 'starch', 'oyster sauce', 'oil', 'dark soy sauce', 'green beans', 'salt', 'garlic paste', 'ginger (grated)', 'chili', 'fermented bean paste']","['180', '2', '2', '0.5', '2', '1', '5', '1', '100', '1', '0.5', '0.5', '0.5', '0.5']","['g', 'tsp', 'tsp', 'tsp', 'tsp', 'tsp', 'tsp', 'tsp', 'g', 'tsp', 'tsp', 'tsp', '', '']",30,,,5.0,15,1.0,2,5.0,200,"['bowl', 'chopsticks', 'wok', 'cooking spoon', 'knife', 'cutting board']",45
katie hale,Community Member,0,,,,Easy,"Enjoy this easy, healthy, and totally adaptable meal. It makes for a good staple meal to add into your weekly rotation as you can change any ingredients depending on what’s readily available. Dress it up or keep it simple, it’s up to you!",Veggie fajita power bowl,,,0,"['onion', 'bell pepper', 'Poblano peppers', 'brown mushroom', 'vegetable broth', 'Can of black beans', 'Brown rice', 'avocado', 'ground cumin', 'chili powder', 'smoked paprika powder', 'garlic']","['1', '0.5', '0.5', '1', '1', '1', '2', '1', '0.5', '0.5', '0.5', '2']","['cup', 'cup', 'cup', 'cup', 'cup', 'cups', 'tbsp', 'tsp', 'tsp', 'cloves', '', '']",20,,,0.0,0,,4,5.0,15,,20
Brannon Imamura,Community Member,0,,,,Easy,"This is not healthy, but amazing! The key is to use good noodles and good cheese, so don’t cheap out!",Easy Delicious Pasta Carbonara,,,1,"['Parmesan cheese', 'Bucatini', 'eggs', 'egg yolk', 'Chopped Pancetta', 'Salt', 'Pepper', 'olive oil']","['2.0', '0.5', '2.0', '1.0', '2.0', '0.0', '0.0', '0.0']","['cups', 'package', 'oz', '', '', '', '', '']",20,,,5.0,0,1.0,2,12.0,89,,20
Belén,Community Member,25,,,,Easy,Try it with a side of rice and banana!,Pinto Bean Stew,,,0,"['canned pinto bean', 'onion', 'garlic', 'tomato paste', 'bay leaves', 'ground cumin', 'chili powder', 'smoked paprika powder', 'salt', 'pepper', 'olive oil (for frying)', 'water (warm)']","['1', '1', '3', '3', '2', '1', '0.5', '1', '2', '1', '2', '1']","['cloves', 'tbsp', 'tbsp', 'tbsp', 'tbsp', 'pinches', 'pinch', 'tbsp', 'l', '', '', '']",10,,,5.0,0,2.0,2,4.0,29,"['pot', 'wooden spoon', 'knife', 'cutting board', 'liquid measuring cup', 'cooking spoon']",35
Rodrigo  Villicaña,Community Member,15,,,,Medium,A really good meal you can also add some yakimeshi by the side,Rodrigo’s chicken stir fry,,,0,"['Chicken ', 'zucchini sliced ', 'oil', 'butter', 'carrot', 'Mushroom  ', 'red bell pepper', 'garlic powder', 'Onion cubed', 'Sauce ingredients ', 'Chicken broth ', 'Water', 'Soy sauce', 'Honey', 'Cornstarch']","['450.0', '0.5', '2.0', '1.0', '1.0', '300.0', '0.5', '1.0', '0.5', '236.0', '59.0', '59.0', '2.0', '1.0', '0.0']","['g', 'tbsp', 'tbsp', 'g', 'tsp', 'ml', 'ml', 'ml', 'tbsp', 'tbsp', '', '', '', '', '']",60,,,0.0,5,,4,6.0,53,,80
vickys kitchendreams,Community Member,0,,,,Easy,"This is one of my favorite spring salads, delicious and nutritious ",Asparagus salad with grilled chicken,,,0,"['green asparagus (for frying)', 'chicken breasts', 'baby spinach', 'tomatoes', 'Parmesan cheese (for garnish)', 'lemon juice']","['400', '300', '200', '100', '50', '50']","['g', 'g', 'g', 'g', 'g', 'ml']",15,,,0.0,0,,2,3.0,61,,15
Ayush Laroia,Community Member,0,,,,Easy,"After getting bored of eating regular bites, I tried to make something out of the leftovers. We all have leftovers but don’t know how to use it. I tried to make something delicious and healthy out of that. Hope you all like it and enjoy sharing it with you family.",Tortilla Pasta Wrap,,,0,"['Cooked pasta', 'tortilla', 'Coleslaw dresseing', 'Ranch dressing', 'chili flakes', 'salt', 'onions', 'Green pepper', 'Tomatoe', 'cucumbers', 'mozzarella cheese', 'lettuce', 'chili sauce']","['150.0', '1.0', '1.0', '1.0', '1.0', '2.0', '1.0', '1.0', '5.0', '30.0', '1.0', '0.0', '0.0']","['g', 'tsp', 'tsp', 'pinch', 'tsp', 'tsp', 'tsp', 'slices', 'g', 'tsp', '', '', '']",12,,,0.0,0,,2,5.0,61,,12
Andrey Sh.,Community Member,10,,,,Easy,That’s my best burger!,Double-cheezy-coppa BURGER,,,0,"['burger bun', 'barbecue sauce “Sweet baby Ray’s”', 'cherry tomato', 'arugula or spinach', 'cheddar cheese “Wyke Farms”', 'Beefsteak', '“Montagnolo” cheese', 'Coppa di Parma', 'onion rings']","['1', '30', '1', '10', '30', '175', '30', '2', '4']","['g', 'g', 'g', 'g', 'g', 'slices', '', '', '']",15,,,0.0,0,,1,5.0,15,,25
Steven Oneil,Community Member,0,,,,Easy,,The Perfect Steak Sandwhich,,,0,"['beef minute steaks', 'red onions', 'Bovril cube', 'soy sauce', 'Carmelised red onion chutney ', 'Mature cheddar cheese ', 'mayonnaise', 'Rocket', 'ciabatta rolls']","['4', '3', '1', '2', '2', '2', '6', '200', '2']","['slices', 'tbsp', 'tbsp', 'slices', 'tbsp', 'g', '', '', '']",20,,,0.0,0,,2,8.0,23,"['knife', 'Whisk and jug', 'Large deep pot ', 'serrated knife']",20
Gadiel Baron,Community Member,30,,,,Medium,"This is my original recipe. I might be 15 years old but I do know how to cook, this pizzas at the end turns out amazing and you’ll want to eat more and more. Be careful this pizza is addictive😉.",Gadiel’s pizza,,,0,"['flour', 'fresh yeast', 'sugar', 'olive oil', 'water (warm)', 'salt', 'tomatoes', 'olive oil (for sprinkling)', 'tomato paste', 'sugar', 'salt', 'dried basil', 'dried oregano', 'Gouda cheese (grated', ' for coating)', 'mozzarella cheese (for coating)']","['500', '6', '1', '4', '1.3333333333333333', '1', '2', '1', '150', '1', '0.5', '1', '1.5', '250', '300']","['g', 'g', 'tsp', 'tbsp', 'tsp', 'pinch', 'g', 'tsp', 'tsp', 'pinch', 'pinches', 'g', 'g', '', '']",45,,,0.0,121,,3,4.0,15,"['bowl', 'nonstick pan', 'food grinder', 'wooden spoon', 'pizza stone', 'oven', 'rolling pin']",196
sokinNou,Community Member,5,,,,Easy,,Simplest Bruschetta,,,0,"['olive oil', 'salt', 'baguette or bread', 'Sweet basil', 'tomato']","['0.25', '0.0', '0.0', '0.0', '0.0']","['tsp', '', '', '', '']",5,,,0.0,0,,2,4.0,18,,10
Glenn Mintoff,Community Member,15,,,,Easy,Add your imagination to this dish!,dnegeL Burger,,,0,"['burger buns', 'smoked bacon', 'mustard', 'ketchup', 'eggs', 'onion', 'cheese', 'red bell pepper', 'beef hamburger patties', 'sugar', 'Worcestershire sauce']","['2', '8', '1', '1', '2', '1', '4', '1', '4', '1', '3']","['slices', 'tbsp', 'tbsp', 'slices', 'tbsp', 'tbsp', '', '', '', '', '']",10,,,5.0,0,3.0,2,7.0,47,,25
pham su,Community Member,0,,,,Easy,"Why not try to improvise, create your own dishes. I always have difficulty to find all ingredients or to calculate the needed amount. So most of the time, I use my imagination, remember to taste everything 😉 have fun!","Sweet potato, zucchini salad",,,0,"['sweet potato', 'zucchini', 'hazelnut', 'onion', 'beef minute steaks', 'flour', 'Dijon mustard', 'mayonnaise', 'olive oil', 'lemon juice', 'salt', 'pepper', 'thyme']","['1.0', '0.5', '0.5', '0.125', '2.0', '0.125', '1.0', '0.5', '1.0', '1.0', '0.0', '0.0', '0.0']","['bulb', 'bulb', 'g', 'clove', 'bulbs', 'g', 'tbsp', 'tbsp', 'tsp', 'tbsp', '', '', '']",80,,,0.0,0,,2,7.0,20,,80
Ewen Kennedy,Community Member,30,,,,Easy,"I decided to try and make my own version rather than order in another takeaway, this is a combination of recipes that we have tried and adapted to, in our opinion, a dish that is much better than your local takeaway does. Maybe it's the simple fact you did it yourself that makes it that way. Enjoy! 🤙",Salt & Chilli Chicken & Chips,,,1,"['chicken breasts', 'potatoes', 'onion', 'green bell pepper', 'red bell pepper', 'chillies', 'flour', 'cornflour', 'baking powder', 'egg whites', 'rice wine', 'soy sauce', 'vegetable oil', 'salt', 'caster sugar', 'Chinese five-spice powder', 'chili flakes', 'ground ginger', 'garlic powder', 'white pepper']","['400', '500', '1', '1', '0.5', '2', '80', '80', '1', '2', '30', '30', '1', '1', '0.5', '0.5', '2', '0.25', '0.5', '0.25']","['g', 'g', 'g', 'g', 'tsp', 'ml', 'ml', 'tbsp', 'tbsp', 'tbsp', 'tsp', 'tsp', 'tsp', 'tsp', 'tsp', '', '', '', '', '']",20,,,5.0,0,1.0,4,10.0,91,['colander'],50
Robinette,Community Member,480,,,,Easy,,Slow Cooked Beef Roast with Vegetables,,,0,"['beef round roast', 'Spice packet', 'Applewood Rub', 'Budweiser', 'Sweet Tea', 'potato’s', 'baby carrots', 'celery', 'onion', 'Mandarin’s', 'sugar', 'Salt', 'pepper']","['2.5', '1', '0.25', '8', '8', '6', '2', '1', '1', '2', '1', '0.5', '0.5']","['lbs', 'cup', 'oz', 'oz', 'cups', 'cup', 'tbsp', 'tbsp', 'tbsp', '', '', '', '']",15,,,0.0,0,,4,,30,,495
Inga Sinkeviciute Koženiauskiene,Community Member,40,,,,Easy,"It’s quick and tasty recipe, kids loves it and home made its healthy compare with fast food shops wraps ;)",Pulled chicken wrap,,,0,"['chicken breasts', 'onion', 'Red pepper', 'Ketchup ', 'Salad ', 'cucumber', 'tomatoes', 'mayonnaise', 'salt', 'pepper', 'chili powder', 'garlic', 'Dried dill', 'dried oregano', 'dried parsley', 'Lavash - wrap', 'cheese']","['300.0', '1.0', '1.0', '4.0', '120.0', '0.5', '2.0', '200.0', '0.5', '4.0', '0.5', '0.5', '1.0', '4.0', '120.0', '0.0', '0.0']","['g', 'tbsp', 'g', 'g', 'tsp', 'cloves', 'tsp', 'tsp', 'tsp', 'g', '', '', '', '', '', '', '']",20,,,0.0,0,,2,4.0,119,,60
Yali Hachamov,Community Member,40,,,,Easy,This is an easy yet amazing main course that is a huge crowd pleaser! Hope you enjoy!,Roasted whole New York Strip,,,0,"['Whole New York strip roast', ' fat side up', 'mustard (for marinating)', 'honey (for marinating)', 'olive oil (for marinating)', 'garlic (grated', ' for marinating)', 'rosemary', 'Salt to taste', 'Black Pepper', ' to taste ']","['2.5', '3.0', '3.5', '1.0', '3.5', '3.0', '0.0', '0.0']","['lbs', 'tbsp', 'tbsp', 'tsp', 'cloves', 'sprigs', '', '']",7,,,0.0,180,,4,10.0,36,,227
takumi ishino,Community Member,1,,,,Easy,,Matcha Pasta,,,0,"['spaghetti', 'onions', 'garlic', 'Bacon', 'cream cheese', 'prosciutto', 'olive oil', 'salt', 'milk', 'matcha powder', 'water', 'Kelp Tea ']","['4', '4', '10', '1', '0.3333333333333333', '3', '2.5', '1', '6.5', '4', '6.5', '4']","['cups', 'cloves', 'cup', 'cup', 'oz', 'fl oz', 'pinch', 'fl oz', 'tsp', 'fl oz', 'tsp', '']",60,,,0.0,1,,4,5.0,50,"['knife', 'cutting board', 'bowl', 'whisk', 'frying pan']",62
Cherry,Community Member,0,,,,Hard,"This is a classic from Sichuan cuisine, which creates tofu-like pieces of chicken. The soup is made by simmering a whole chicken for 4 hrs. The oil on the top is skimmed off several times to make a clear soup.",Matsutake chicken-tofu,,,0,"['chicken breast', 'salt', 'pepper', 'matsutake mushroom', 'soda water', 'whole chicken', 'toasted sesame oil', 'olive oil']","['1', '1', '0.25', '1', '1', '1', '3', '5']","['', '', '', '', '', '', '', '']",360,,,0.0,0,,2,5.0,14,,360
Inga Sinkeviciute Koženiauskiene,Community Member,45,,,,Easy,The best to eat with toasted pita bread or boiled potatoes ;),Red pepper stuffed with meat,,,0,"['turkey breasts', 'red bell peppers', 'rice', 'ketchup', 'mayonnaise', 'cheese', 'Single cream', 'salt', 'white pepper', 'chili powder', 'sweet paprika powder', 'garlic powder', 'Dried dills']","['250.0', '4.0', '2.0', '2.0', '1.0', '200.0', '200.0', '0.5', '0.5', '0.5', '1.0', '0.0', '0.0']","['g', 'tbsp', 'tbsp', 'tbsp', 'g', 'g', 'tsp', 'tsp', 'tsp', 'tsp', '', '', '']",15,,,0.0,0,,2,5.0,47,,60
ARDA ÖZYARDIMCI,Community Member,0,,,,Easy,Enjoy Your Meal!😉🍜,Belgian-style mussel meat noodle,,,0,"['mussels', 'butter', 'nuts', 'noodle', 'onions', 'garlic', 'soy sauce', 'pepper', 'salt', 'thyme']","['200', '2', '3', '0.25', '3', '4', '4', '1', '1', '1']","['g', 'tbsp', 'tsp', 'package', 'tbsp', 'tsp', 'tsp', 'tsp', '', '']",45,,,0.0,0,,1,8.0,27,,45
Maya Eden,Community Member,20,,,,Easy,,Creamy Penne with Roasted Sauce,,,0,"['cooked penne', 'diced tomato', 'fresh basil', 'diced onion', 'garlic', 'milk', 'mozzarella cheese', 'salt', 'pepper', 'tomato paste', 'jarred marinara sauce', 'butter', 'additional butter ', 'nutmeg']","['1', '0.5', '0.125', '3', '1', '2', '0.25', '1', '1', '1', '2', '1', '1', '1']","['cup', 'cup', 'cup', 'tbsp', 'clove', 'tbsp', 'cup', 'pinch', 'pinch', 'tsp', 'tbsp', 'tbsp', 'tbsp', 'pinch']",5,,,5.0,1,1.0,1,4.0,81,"['sauté pan', 'saucepan']",26
